225600361, Dang Dinh Trang, 09535629127, 98; Xã Vân Hà; Huyện Đông Anh; Thành phố Hà Nội,  Đồng hồ điện tử nam nữ AOSUN Q121 mẫu mới tuyệt đẹp, 28000, 9, 252000
997712799, Phan Thi Nhi, 09482156893, 93; Xã Cấn Hữu; Huyện Quốc Oai; Thành phố Hà Nội,  Khay đỡ giấy in, 48000, 7, 336000
1006697017, AnhThi Trang, 09864834817, 58; Xã Phùng Xá; Huyện Mỹ Đức; Thành phố Hà Nội,  Vỏ bao lụa sấy máy in canon 2900 , 30000, 4, 120000
1680593653, AnhVan Doan, 09631416469, 50; Xã Kim Chung; Huyện Đông Anh; Thành phố Hà Nội,  BỘ VỎ NHỰA MÁY IN CANON 2900 , 345000, 9, 3105000
2032600627, Bui Hanh Nhi, 09771169900, 57; Xã Xuân Sơn; Thị xã Sơn Tây; Thành phố Hà Nội,  CẠC FOMATER MÁY IN CANON 2900 MỚI ĐỜI 2019 , 405000, 3, 1215000
1896365160, Pham Van Tam, 09443830266, 35; Phường Đức Giang; Quận Long Biên; Thành phố Hà Nội,  Khay đựng giấy máy in Canon 2900 loại XỊN LOGO NỔI , 70000, 5, 350000
1404438993, Vuong Huu Loc, 09305314245, 77; Xã Đại Hùng; Huyện Ứng Hòa; Thành phố Hà Nội,  KHAY TAY MÁY IN CANON 3300 MỚI 100% , 130000, 8, 1040000
1413391174, Vu Xuan Hong, 09607664192, 7; Thị trấn Yên Viên; Huyện Gia Lâm; Thành phố Hà Nội,  MẶT KHAY ĐỂ GIẤY MÁY IN CANON 3300 MỚI 100% , 140000, 6, 840000
1548841951, Kha Van Nhat, 09847152137, 4; Phường Ô Chợ Dừa; Quận Đống Đa; Thành phố Hà Nội,  Dây máy in USB kết nối máy in với máy tính LOẠI XỊN V, 50000, 2, 100000
1737385170, Do Cam Tuyet, 09595001097, 45; Phường Phan Chu Trinh; Quận Hoàn Kiếm; Thành phố Hà Nội,  LỌ MỰC ĐỔ MÁY IN Canon 2900 Canon 3300 3500 hp 1020 hp 2015 hp 2035 2055 , 25000, 8, 200000
897403931, Do Thu Tho, 09869699080, 27; Phường Định Công; Quận Hoàng Mai; Thành phố Hà Nội,  Laptop cũ HP 15 , 3990, 8, 31920
890215436, Vuong Xuan Dong, 09080175125, 69; Xã Đông Xuân; Huyện Quốc Oai; Thành phố Hà Nội,  Máy tính mini bỏ túi windows 10 64bit và Android, 2750, 3, 8250
332264203, Pham Cam Nhat, 09278358964, 58; Thị trấn Đại Nghĩa; Huyện Mỹ Đức; Thành phố Hà Nội,  Pocket PC Stick windows 10 64bit Ram 2GB EMMC 32G Z3735F, 2750, 7, 19250
906977621, Do Duc Nhat, 09510838847, 51; Phường Nguyễn Trãi; Quận Hà Đông; Thành phố Hà Nội,  Laptop Lenovo G470 Intel Core i3 2330M 2, 2800, 4, 11200
733949741, Ly Hoang Lan, 09041598325, 52; Phường Nhật Tân; Quận Tây Hồ; Thành phố Hà Nội,  Màn hình vi tính giá rẻ siêu đẹp đủ dây cắm 15'' 17'' 19'' 20'' 22'' màn vi tính, 1220, 3, 3660
347228619, An Huu Nhat, 09406471509, 8; Xã Vân Hà; Huyện Đông Anh; Thành phố Hà Nội,  Màn hình Dell 17inch Ultrasharp chuyên làm đồ họa, 600000, 8, 4800000
1158330634, Vu Chau Cong, 09842973688, 94; Phường Đống Mác; Quận Hai Bà Trưng; Thành phố Hà Nội,  Laptop cũ Asus x454L , 5199, 5, 25995
1123705583, Phan Xuan Duyen, 09462838823, 64; Xã Ninh Hiệp; Huyện Gia Lâm; Thành phố Hà Nội,  Máy in HP LaserJet Pro MFP M227sdn , 5099, 8, 40792
1148541763, Kha Van Phuc, 09590540160, 94; Phường Láng Thượng; Quận Đống Đa; Thành phố Hà Nội,  Bộ mực HP 680 ĐEN, 550000, 8, 4400000
1958391505, Kha Duc Duyen, 09938224064, 68; Xã Tiền Phong; Huyện Mê Linh; Thành phố Hà Nội,  Máy in HP M12A , 1749, 4, 6996
204166966, Ngo Xuan Lan, 09831836753, 14; Xã Sơn Đà; Huyện Ba Vì; Thành phố Hà Nội,  Barabone HP 800 G1 Usdt Adapter, 1100, 3, 3300
1902813303, Ho Van Dung, 09635447729, 5; Phường Phương Liên; Quận Đống Đa; Thành phố Hà Nội,  Laptop cũ Toshiba C850 – Core i3 2350m, 3999, 1, 3999
256712397, Chu Thu Tho, 09362040371, 45; Phường Thanh Trì; Quận Hoàng Mai; Thành phố Hà Nội,  Laptop cũ Asus K43E , 3299, 8, 26392
270609556, Vuong Thi Si, 09941687153, 83; Xã Nam Sơn; Huyện Sóc Sơn; Thành phố Hà Nội,  Laptop HP probook G430, 5499, 5, 27495
1911926993, Vu Dinh Linh, 09437612252, 85; Xã Thượng Cốc; Huyện Phúc Thọ; Thành phố Hà Nội,  Laptop cũ Sony Vaio Fit – Core i3 3217, 5250, 8, 42000
959161290, Hoang Hanh Trang, 09953915521, 9; Phường Vĩnh Hưng; Quận Hoàng Mai; Thành phố Hà Nội,  Ổ cứng HDD Western 320GB Blue 3, 320000, 5, 1600000
1611546648, Duong Dinh Lan, 09593887353, 4; Phường Sài Đồng; Quận Long Biên; Thành phố Hà Nội,  Máy in Canon MF641Cw , 10199, 4, 40796
1200756972, Le Xuan Trang, 09270059708, 62; Xã Vân Nội; Huyện Đông Anh; Thành phố Hà Nội,  Laptop cũ HP Probook 430 G1 , 4699, 8, 37592
1218597545, Dang Chau Loc, 09013420360, 21; Thị trấn Liên Quan; Huyện Thạch Thất; Thành phố Hà Nội,  Laptop cũ Lenovo Yoga 500 15ibd , 4299, 1, 4299
417397376, Ly Dinh Tam, 09909621423, 25; Phường Thịnh Quang; Quận Đống Đa; Thành phố Hà Nội,  Laptop cũ Lenovo B470 , 3299, 1, 3299
1516107330, Ly Hanh Loc, 09211021176, 2; Xã Đông La; Huyện Hoài Đức; Thành phố Hà Nội,  Laptop cũ Dell E6430 , 3850, 6, 23100
1322423655, Hoang Xuan Nhat, 09037448735, 75; Phường Thổ Quan; Quận Đống Đa; Thành phố Hà Nội,  Laptop cũ HP 14 r041tu , 4290, 9, 38610
1666106782, Le Hanh Duyen, 09027351461, 71; Phường Bách Khoa; Quận Hai Bà Trưng; Thành phố Hà Nội,  Laptop Asus X455LA , 4350, 7, 30450
1217411841, Vuong Dai Loc, 09816959445, 28; Phường Bách Khoa; Quận Hai Bà Trưng; Thành phố Hà Nội,  Màn hình máy tính Dell U2421HE, 5450, 8, 43600
1964106718, Phan Duc Loc, 09840100373, 36; Phường Trung Văn; Quận Nam Từ Liêm; Thành phố Hà Nội,  Cáp chuyển dual sata sang 8 pin vga pice, 60000, 1, 60000
1770471389, Mac Huu Dung, 09817590305, 25; Phường Thanh Xuân Nam; Quận Thanh Xuân; Thành phố Hà Nội,  Dây cáp cpu nguồn sama, 30000, 4, 120000
779222091, Mac Chau Phuc, 09534930940, 70; Xã Bắc Hồng; Huyện Đông Anh; Thành phố Hà Nội,  Cáp Chuyển 2 Nguồn 4 Pin Ra Nguồn Phụ 6 Pin Vga, 15000, 1, 15000
1030404031, Do Thi Tuyet, 09195234339, 35; Xã Đông Xuân; Huyện Sóc Sơn; Thành phố Hà Nội,  Cáp Chia Nguồn Card Vga 6 Pin Ra 2 X 8 Pin 6 2 Cấp Nguồn Cho Card Vga, 35000, 4, 140000
692419609, Pham Thi Cong, 09992117478, 27; Xã Đồng Tâm; Huyện Mỹ Đức; Thành phố Hà Nội,  Dây Cáp Cable Chuyển Sata To Usb 3 0 Truyền Dữ Liệu Từ Ổ Cứng Hdd Ssd Ra Usb 3 0, 45000, 9, 405000
282485370, Nguyen Cam Hong, 09886649702, 78; Phường Lý Thái Tổ; Quận Hoàn Kiếm; Thành phố Hà Nội,  Cáp Kết Nối Dvd Laptop Sang Usb Cáp Chuyển Ổ Đĩa Dvd Laptop Ra Cổng Usb, 65000, 1, 65000
1792753720, Hoa Dai Dong, 09529970011, 74; Xã Vân Từ; Huyện Phú Xuyên; Thành phố Hà Nội,  Combo 10 Ram laptop ddr4 8G bus 3200 chính hãng lexar, 9800, 3, 29400
1616204630, Vu Huu Lan, 09989637516, 59; Xã Tiên Dương; Huyện Đông Anh; Thành phố Hà Nội,  Dock sử dụng được cho ổ ATA và Sata, 165000, 1, 165000
30565507, Kha Dai Hung, 09565222444, 89; Phường Trần Phú; Quận Hoàng Mai; Thành phố Hà Nội,  main h110 afox có chíp i3, 2950, 3, 8850
465884516, Vu Dinh Nong, 09605514422, 38; Phường Phúc Tân; Quận Hoàn Kiếm; Thành phố Hà Nội,  CPU i5 4570, 1300, 7, 9100
395683450, Kha Dai Thuong, 09712327101, 69; Phường Quỳnh Lôi; Quận Hai Bà Trưng; Thành phố Hà Nội,  trọn bộ máy tính chơi game Pubg, 7600, 6, 45600
1642373038, Hoa Chau Phuc, 09896364530, 72; Xã Thanh Mỹ; Thị xã Sơn Tây; Thành phố Hà Nội,  Tản nhiệt CPU Jonsbo CR, 290000, 6, 1740000
1756334775, Pham Dinh Phuong, 09139149482, 7; Xã Đông Lỗ; Huyện Ứng Hòa; Thành phố Hà Nội,  MÁY CHIẾU UNIC UC46 WIFI , 4500, 8, 36000
1555835410, Pham Cam Cong, 09915733808, 81; Xã Kim Chung; Huyện Hoài Đức; Thành phố Hà Nội,  Laptop cũ giá rẻ, 2299, 4, 9196
1164849998, Vu Huu Nong, 09498090613, 67; Phường Láng Hạ; Quận Đống Đa; Thành phố Hà Nội,  Đế nhôm đa năng di động WIWU cho máy tính bảng, 590000, 2, 1180000
1172990334, Duong Xuan Thuong, 09270781130, 59; Xã Hoàng Long; Huyện Phú Xuyên; Thành phố Hà Nội,  CPU Intel Xeon E3 1231v3 (3, 1580, 4, 6320
548664078, Vu Cam Nong, 09759055238, 82; Phường Thịnh Quang; Quận Đống Đa; Thành phố Hà Nội,  CPU I5, 1190, 1, 1190
102378728, Mac Thi Tho, 09864798708, 21; Phường Quán Thánh; Quận Ba Đình; Thành phố Hà Nội,  Bộ nguồn lưu điện EcoStore ES, 2500, 5, 12500
544880249, Pham Hanh Nghi, 09430507010, 77; Phường Nguyễn Trung Trực; Quận Ba Đình; Thành phố Hà Nội,  Hộp mực máy in date cầm tay , 1800, 5, 9000
932074135, Duong Dinh Hung, 09456007746, 77; Xã Đại Yên; Huyện Chương Mỹ; Thành phố Hà Nội,  Máy In Hóa Đơn Nhiệt Mini kết nối bluetooth 4, 780000, 6, 4680000
1624265727, Kha Cam Si, 09102028533, 65; Xã Quang Tiến; Huyện Sóc Sơn; Thành phố Hà Nội,  MÁY CHẤM CÔNG VÂN TAY RJ 2000, 1900, 7, 13300
221953025, Bui Hanh Doan, 09217443004, 23; Xã Nghiêm Xuyên; Huyện Thường Tín; Thành phố Hà Nội,  thiết bị bấm giờ công thẻ giấy RJ 2300A, 2600, 2, 5200
185396336, Ngo Cam Hung, 09491982024, 62; Xã Tiên Phong; Huyện Ba Vì; Thành phố Hà Nội,  MÁY CHẤM CÔNG DẤU VÂN TAY GIÁ RẺ ST 300, 1800, 2, 3600
2104931002, Chu Thi Nhat, 09590082357, 38; Xã Chàng Sơn; Huyện Thạch Thất; Thành phố Hà Nội,  Fan tản nhiệt CPU LED RBG M105 cánh lớn 12cm AMD INTEL, 190000, 7, 1330000
2077233583, Vuong Dai Si, 09437793713, 8; Xã Bích Hòa; Huyện Thanh Oai; Thành phố Hà Nội,  Bộ máy tính để bàn CASE VIETTECH K9 FOXCONN H61MX v2, 3999, 5, 19995
423180202, Mac Huu Nong, 09079256156, 49; Xã Dương Xá; Huyện Gia Lâm; Thành phố Hà Nội,  Bộ máy tính Main H81 Cpu Intel Core i3, 4300, 9, 38700
2071299797, Tran Van Dong, 09697773071, 7; Xã Tiên Dương; Huyện Đông Anh; Thành phố Hà Nội,  bộ máy tính cây SAMSUNG H61S2, 3750, 2, 7500
1625770309, Duong Thu Loan, 09358840852, 33; Xã Vạn Điểm; Huyện Thường Tín; Thành phố Hà Nội,  cây máy tính để bàn ECS H110, 3250, 3, 9750
1887142582, Mac Thi Hong, 09957926913, 38; Phường Ngã Tư Sở; Quận Đống Đa; Thành phố Hà Nội,  Laptop cũ Asus K43E Core i3 2330m sandy bridge ram4gb, 3390, 8, 27120
1019393131, Diep Thi Phuc, 09788733414, 59; Xã Thượng Cốc; Huyện Phúc Thọ; Thành phố Hà Nội,  Laptop cũ Asus K43E core i5 ram 4gb 500gb, 3759, 4, 15036
315816951, Ho Dai Lan, 09782788692, 23; Xã Cát Quế; Huyện Hoài Đức; Thành phố Hà Nội,  Thanh lý laptop dell latitude 3450, 5390, 4, 21560
1503403720, Vu Hanh Nhi, 09116894687, 62; Phường Hoàng Liệt; Quận Hoàng Mai; Thành phố Hà Nội,  laptop cũ Acer aspire 4750, 3199, 2, 6398
413731438, Ly Dinh Dong, 09740537556, 73; Xã Quảng Bị; Huyện Chương Mỹ; Thành phố Hà Nội,  Thanh lý Laptop HP probook 430 G1 intel core i5 thế hệ 4, 5299, 3, 15897
32229480, Dang Duc Cong, 09777278439, 9; Xã Xuân Giang; Huyện Sóc Sơn; Thành phố Hà Nội,  Thanh lý laptop cũ lenovo ideapad yoga 500 14 ibd, 4399, 5, 21995
514991316, Trinh Xuan Cong, 09890878575, 21; Xã Vạn Kim; Huyện Mỹ Đức; Thành phố Hà Nội,  Laptop cũ Dell E6420 , 3600, 8, 28800
1099950602, Nguyen Thu Hong, 09269518401, 2; Xã Yên Trung; Huyện Thạch Thất; Thành phố Hà Nội,  Laptop chơi game Asus K53sc  , 4099, 3, 12297
1330534438, Ngo Huu Loan, 09027797725, 76; Xã Hòa Bình; Huyện Thường Tín; Thành phố Hà Nội,  Laptop giải trí Asus x451ca , 2699, 4, 10796
545083255, Hoa Thi Trang, 09728783390, 54; Xã Hồng Vân; Huyện Thường Tín; Thành phố Hà Nội,  Laptop cũ HP CQ40 , 1799, 6, 10794
49028683, Ly Chau Nhat, 09898778965, 17; Xã Thượng Vực; Huyện Chương Mỹ; Thành phố Hà Nội,  Laptop cũ Asus K555L , 4999, 1, 4999
1538838380, Ngo Chau Nhi, 09095532739, 76; Xã Minh Phú; Huyện Sóc Sơn; Thành phố Hà Nội,  Laptop cũ Asus K43e , 3299, 5, 16495
1111091839, Bui Hanh Tuyet, 09612282180, 36; Phường Xuân Khanh; Thị xã Sơn Tây; Thành phố Hà Nội,  Bàn phím Cơ DAREU EK810 Multi , 648000, 6, 3888000
1750227408, Mac Chau Tuyet, 09418749294, 54; Xã Ngọc Hồi; Huyện Thanh Trì; Thành phố Hà Nội,  Bàn Phím Cơ GNET K87 Mini LED 7 Màu Blue Switch Độ Bền 50 Triệu Lần Nhấn Siêu Bền, 513000, 6, 3078000
1988533297, Vu Van Phuong, 09463054495, 70; Phường Trần Hưng Đạo; Quận Hoàn Kiếm; Thành phố Hà Nội,  Laptop Asus X44H , 3300, 9, 29700
2138608065, Dang Huu Linh, 09322287386, 52; Phường Lê Lợi; Thị xã Sơn Tây; Thành phố Hà Nội,  Bàn phím máy tính, 599000, 9, 5391000
1151948616, Bui Huu Loan, 09477453303, 82; Phường Yết Kiêu; Quận Hà Đông; Thành phố Hà Nội,  Bàn phím cơ, 469000, 8, 3752000
1235311407, Mac Thu Tho, 09490904126, 63; Phường Nguyễn Du; Quận Hai Bà Trưng; Thành phố Hà Nội,  Laptop cũ HP Elitebook 8560p , 3699, 1, 3699
6918253, Do Hoang Phuc, 09812916803, 25; Phường Khâm Thiên; Quận Đống Đa; Thành phố Hà Nội,  Nguồn máy tính (550, 70000, 6, 420000
310961233, Trinh Thu Loc, 09965959089, 60; Phường Trần Hưng Đạo; Quận Hoàn Kiếm; Thành phố Hà Nội,  Laptop cũ HP 2560p  – Core i5 2520M, 3300, 2, 6600
1497729880, Bui Thu Nghi, 09443646858, 24; Thị trấn Sóc Sơn; Huyện Sóc Sơn; Thành phố Hà Nội,  Laptop Asus X402CA , 4199, 6, 25194
1690266673, An Duc Tam, 09967853369, 76; Xã Trạch Mỹ Lộc; Huyện Phúc Thọ; Thành phố Hà Nội,  Laptop cũ Sony Vaio , 4899, 3, 14697
1398290595, Duong Xuan Tho, 09636030688, 46; Phường Dương Nội; Quận Hà Đông; Thành phố Hà Nội,  Laptop cũ Dell 3420 , 3500, 5, 17500
1156481044, Vuong Cam Hien, 09517403488, 74; Phường Ngọc Lâm; Quận Long Biên; Thành phố Hà Nội,  Laptop cũ Dell Inspiron 4110 , 3450, 7, 24150
102417511, Chu Thu Si, 09747100715, 11; Xã Hồng Sơn; Huyện Mỹ Đức; Thành phố Hà Nội,  laptop văn phòng cũ Asus x401a , 3000, 9, 27000
1196706130, Vuong Thi Trang, 09397840501, 55; Xã Đại Cường; Huyện Ứng Hòa; Thành phố Hà Nội,  Laptop văn phòng Dell latitude E6410 , 3190, 1, 3190
1855572755, Bach Cam Tuyet, 09458442273, 99; Xã Mỹ Thành; Huyện Mỹ Đức; Thành phố Hà Nội,  laptop văn phòng cũ acer aspire 4738 core i3 2, 2900, 4, 11600
853771551, Mac Duc Dung, 09978991891, 38; Xã Nguyên Khê; Huyện Đông Anh; Thành phố Hà Nội,  laptop văn phòng cũ lenovo B490, 3200, 4, 12800
2000212050, Pham Thi Tho, 09291417192, 66; Xã Quang Tiến; Huyện Sóc Sơn; Thành phố Hà Nội,  laptop cũ, 4800, 8, 38400
854914212, An Thi Nhat, 09604423205, 20; Xã Cẩm Lĩnh; Huyện Ba Vì; Thành phố Hà Nội,  laptop cũ Dell Latitude E6420 core i5, 4200, 3, 12600
1877562654, Kha Cam Hue, 09404376202, 74; Thị trấn Chi Đông; Huyện Mê Linh; Thành phố Hà Nội,  Laptop cũ Asus X551CA , 4199, 3, 12597
1070816760, Chu Thu Duyen, 09046634881, 33; Xã Phú Cường; Huyện Sóc Sơn; Thành phố Hà Nội,  Laptop cũ Toshiba Dynabook P840 , 4290, 1, 4290
1304323460, Dang Cam Doan, 09089613678, 2; Phường Thịnh Quang; Quận Đống Đa; Thành phố Hà Nội,  Laptop cũ Sony Vaio SVS13 , 4899, 3, 14697
251323644, Phan Huu Loan, 09863415091, 39; Phường Phương Canh; Quận Nam Từ Liêm; Thành phố Hà Nội,  HP Compaq CQ42 , 2390, 3, 7170
2043634706, Trinh Thi Si, 09639989075, 50; Xã Cổ Đông; Thị xã Sơn Tây; Thành phố Hà Nội,  Máy in bluetooth mã vạch, 690000, 3, 2070000
515053624, Pham Cam Cong, 09165423357, 3; Phường Bưởi; Quận Tây Hồ; Thành phố Hà Nội,  may soi BALAM DL 1000, 1300, 6, 7800
2147161158, Mac Xuan Tho, 09432669150, 47; Xã Mỹ Hưng; Huyện Thanh Oai; Thành phố Hà Nội,  Giấy, 28000, 7, 196000
1022378318, Bui Xuan Tuyet, 09346564126, 1; Xã Quảng Bị; Huyện Chương Mỹ; Thành phố Hà Nội,  HỘP MỰC IN 85A , 95000, 4, 380000
1095730979, Ly Duc Trang, 09351094583, 82; Xã Cao Viên; Huyện Thanh Oai; Thành phố Hà Nội,  HỘP MỰC CÓ LỖ ĐỔ MỰC MÁY IN CANON 2900 , 83000, 4, 332000
1278291028, Trinh Chau Tuyet, 09177320706, 7; Phường Trung Sơn Trầm; Thị xã Sơn Tây; Thành phố Hà Nội,  Ổ cứng Ổ cứng HDD 2T Chuyên Camera , 1140, 5, 5700
810903008, Duong Cam Phuong, 09337773493, 35; Xã Cẩm Yên; Huyện Thạch Thất; Thành phố Hà Nội,  máy bấm giờ công thẻ giấy ronald jack rj 2300A màn hình kim, 2300, 5, 11500
915631594, Kha Duc Nhi, 09843114887, 18; Phường Kiến Hưng; Quận Hà Đông; Thành phố Hà Nội,  Máy chấm công dấu vân tay thẻ cảm ứng ST 300, 2400, 2, 4800
152385956, Chu Cam Duyen, 09829724103, 73; Xã Đồng Tâm; Huyện Mỹ Đức; Thành phố Hà Nội,  máy chấm công thẻ giấy TẶNG 100 THẺ, 2350, 3, 7050
1350255268, An Hanh Nhi, 09279675186, 83; Xã Đồng Lạc; Huyện Chương Mỹ; Thành phố Hà Nội,  máy bấm vòng tuần tra bảo vệ DATHACI GS 9800, 5200, 7, 36400
1280591427, Kha Duc Tho, 09174876951, 76; Phường Ngô Quyền; Thị xã Sơn Tây; Thành phố Hà Nội,  bộ đàm cầm tay MOTORA GS 3588 UHF MUA 5 TẶNG 1, 1500, 3, 4500
819003355, Bui Hanh Dong, 09883067973, 57; Phường Láng Thượng; Quận Đống Đa; Thành phố Hà Nội,  MÁY CHẤM CÔNG KHUÔN MẶT DATHACO 210PLUS, 7500, 6, 45000
1766693862, Pham Thi Nhat, 09346019977, 2; Phường Phú Diễn; Quận Bắc Từ Liêm; Thành phố Hà Nội,  kệ đựng thẻ chấm công 1 khây đựng 50 thẻ, 220000, 6, 1320000
1714835212, Mac Dinh Doan, 09693172924, 94; Xã Đội Bình; Huyện Ứng Hòa; Thành phố Hà Nội,  Chuột Mitsumi mini, 32000, 8, 256000
2004865344, Vu Hanh Dung, 09592468840, 75; Xã Tứ Hiệp; Huyện Thanh Trì; Thành phố Hà Nội,  Laptop cũ Dell E6430s , 5350, 1, 5350
1753415178, Chu Xuan Doan, 09375034165, 89; Xã Mỹ Lương; Huyện Chương Mỹ; Thành phố Hà Nội,  Chuột game Nasun có dây NS, 190000, 1, 190000
1878292512, Vuong Hoang Si, 09435903157, 87; Phường Đồng Mai; Quận Hà Đông; Thành phố Hà Nội,  Chuột máy tính có dây Nasun cổng USB chính hãng, 120000, 7, 840000
452638284, Trinh Cam Tuyet, 09380483333, 44; Phường Văn Miếu; Quận Đống Đa; Thành phố Hà Nội,  Bàn phím máy tính Nasun có dây cổng Usb NS, 150000, 6, 900000
1104561514, Ngo Hoang Loan, 09585030599, 43; Xã Hát Môn; Huyện Phúc Thọ; Thành phố Hà Nội,  Chuột máy tính có dây cổng USB Nasun NS, 40000, 7, 280000
1516721130, Le Chau Tuyet, 09127862868, 1; Phường Cự Khối; Quận Long Biên; Thành phố Hà Nội,  Hộp mực máy in HP và Canon Cartridge máy in Laser NASUN Model 12A, 290000, 6, 1740000
901142020, Kha Duc Lan, 09501438298, 15; Xã Tân Hưng; Huyện Sóc Sơn; Thành phố Hà Nội,  Hộp mực máy in HP Cartridge Laser NASUN Model 13A, 390000, 7, 2730000
1439251496, Dang Hanh Doan, 09222573763, 33; Xã Đồng Quang; Huyện Quốc Oai; Thành phố Hà Nội,  Hộp mực máy in HP Cartridge máy in Laser NASUN Model 35A, 290000, 5, 1450000
244093464, Ly Cam Dong, 09992337441, 44; Phường Trung Sơn Trầm; Thị xã Sơn Tây; Thành phố Hà Nội,  Hộp mực máy in HP Cartridge máy in Laser NASUN Model 36A, 250000, 9, 2250000
785083678, Vuong Dai Nghi, 09233916163, 10; Phường Ngã Tư Sở; Quận Đống Đa; Thành phố Hà Nội,  Hộp mực máy in HP và Canon Cartridge Laser NASUN Model 49A, 340000, 9, 3060000
761848978, Hoang Xuan Phuc, 09706018271, 99; Xã Bắc Sơn; Huyện Sóc Sơn; Thành phố Hà Nội,  Hộp mực máy in HP và Canon Cartridge Laser NASUN Model 53A, 350000, 2, 700000
1098269832, Trinh Dai Cong, 09211556849, 81; Phường Phú La; Quận Hà Đông; Thành phố Hà Nội,  Hộp mực máy in HP Cartridge máy in Laser NASUN Model 78A, 290000, 6, 1740000
999120459, Mac Hoang Tuyet, 09873722902, 41; Thị trấn Sóc Sơn; Huyện Sóc Sơn; Thành phố Hà Nội,  Hộp mực máy in HP Cartridge Laser NASUN Model 85A, 290000, 8, 2320000
1042918520, Trinh Huu Loc, 09928451506, 21; Xã Đồng Thái; Huyện Ba Vì; Thành phố Hà Nội,  Hộp mực máy in HP Cartridge máy in Laser NASUN Model 83A, 290000, 3, 870000
570038826, Diep Dinh Nhi, 09780887271, 25; Phường Xuân Tảo; Quận Bắc Từ Liêm; Thành phố Hà Nội,  Chuột máy tính Nasun NS, 150000, 4, 600000
717999315, Diep Van Tam, 09824843049, 63; Xã Hữu Hoà; Huyện Thanh Trì; Thành phố Hà Nội,  Chuột không dây Nasun NS, 180000, 7, 1260000
703874712, Hoa Hoang Linh, 09400759567, 58; Xã Vân Hòa; Huyện Ba Vì; Thành phố Hà Nội,  Nguồn máy tính fan 8cm Nasun NS, 80000, 5, 400000
1682356908, Mac Xuan Trang, 09780978138, 61; Xã Chu Minh; Huyện Ba Vì; Thành phố Hà Nội,  Chuột Game 6D Marvo M215 LED DPI 2400, 179000, 7, 1253000
1602856354, Vuong Hanh Nhat, 09780404501, 17; Xã Hữu Hoà; Huyện Thanh Trì; Thành phố Hà Nội,  Bộ 3 chai mực Photocopy SHARP, 1305, 1, 1305
1171873710, Bui Duc Si, 09540710707, 45; Xã Thượng Cốc; Huyện Phúc Thọ; Thành phố Hà Nội,  Mực siêu nét máy in HP P1102W, 29500, 8, 236000
1108917333, An Thi Thuong, 09387758728, 62; Xã Phong Vân; Huyện Ba Vì; Thành phố Hà Nội,  [Freeship] Laptop win 10 cpu i5 4cpu ổ cứng 320G 13 15in màn hình siêu to khổng lồ xem đá banh game , 2490, 3, 7470
1710527065, Tran Chau Hong, 09915811238, 14; Xã Chu Minh; Huyện Ba Vì; Thành phố Hà Nội,  Card màn hình Zotac P106 3GB, 1250, 3, 3750
464799066, Kha Van Phuc, 09080243240, 85; Xã Hợp Tiến; Huyện Mỹ Đức; Thành phố Hà Nội,  Đồng hồ vạn năng VC830L, 99000, 4, 396000
1479878123, Dang Duc Trang, 09394807380, 76; Phường Nguyễn Du; Quận Hai Bà Trưng; Thành phố Hà Nội,  Ổ CỨNG SSD KING STON 120GB A400, 507000, 4, 2028000
156013707, Vu Duc Hong, 09595023149, 49; Xã Đức Giang; Huyện Hoài Đức; Thành phố Hà Nội,  Nhãn in Brother TZE, 440000, 6, 2640000
44840562, Phan Hanh Dung, 09996139279, 73; Phường Xuân Khanh; Thị xã Sơn Tây; Thành phố Hà Nội,  Nhãn in Brother TZE, 484000, 2, 968000
2016049084, Duong Dai Lan, 09713169031, 26; Phường Quốc Tử Giám; Quận Đống Đa; Thành phố Hà Nội,  Laptop cũ Dell 4050 , 3800, 2, 7600
739972422, Nguyen Thu Duyen, 09818387368, 58; Xã Kim Hoa; Huyện Mê Linh; Thành phố Hà Nội,  Laptop cũ Toshiba C800 –  dùng văn phòng, 2990, 6, 17940
638696777, Le Dinh Lan, 09744271414, 4; Xã Cao Dương; Huyện Thanh Oai; Thành phố Hà Nội,  Laptop cũ Acer V3 571 , 3699, 2, 7398
1453463333, Duong Hanh Si, 09516006300, 48; Xã Hát Môn; Huyện Phúc Thọ; Thành phố Hà Nội,  Chuột quang không dây loại tốt chính hãng cao cấp, 87000, 1, 87000
731753106, An Huu Duyen, 09737917669, 5; Xã Thụy An; Huyện Ba Vì; Thành phố Hà Nội,  Biển chức danh Mica đế gỗ, 125000, 3, 375000
2083089820, Kha Xuan Dong, 09400106268, 85; Xã Bát Tràng; Huyện Gia Lâm; Thành phố Hà Nội,  Laptop cũ Acer one 14 Z1402 , 4390, 5, 21950
64707699, An Hoang Hong, 09545234734, 29; Xã Thuần Mỹ; Huyện Ba Vì; Thành phố Hà Nội,  Ram 4G, 280000, 1, 280000
915571711, Le Thu Tho, 09176940143, 23; Xã Quảng Bị; Huyện Chương Mỹ; Thành phố Hà Nội,  Chuột thông minh i, 1190, 1, 1190
1293416022, Chu Thu Tho, 09012189533, 79; Thị trấn Phúc Thọ; Huyện Phúc Thọ; Thành phố Hà Nội,  Máy in Epson LQ350 , 5199, 1, 5199
1613606820, Diep Hanh Duyen, 09444617396, 96; Thị trấn Quang Minh; Huyện Mê Linh; Thành phố Hà Nội,  Màn hình cong 24 inch , 2390, 9, 21510
